index,식품명,식품중량,탄수화물(g),단백질(g),지방(g),에너지(kcal)
399,돼지고기_머리고기,200.0,1.75,21.2,26.0,325
400,돼지고기_허파,100.0,0.02,17.27,2.41,91
401,돼지등갈비찜,450.0,12.76,16.02,10.93,214
402,북어찜,150.0,12.0,18.73,3.8,157
403,붕어찜,1100.0,6.51,4.94,3.35,76
404,수란_중탕,100.0,0.2,12.3,11.7,145
405,순대,300.0,19.45,6.52,8.55,181
406,아귀찜_간편조리세트_쫀득쫀득아귀찜,1557.0,6.37,6.68,2.79,77
407,아귀찜,400.0,4.37,12.08,1.33,78
408,오징어순대,350.0,16.66,13.06,1.6,133
409,조기찜,100.0,1.64,20.06,10.59,182
410,족발,100.0,0.0,28.91,11.65,220
411,청국장찌개_간편조리세트_영월식 청국장,909.0,5.38,6.09,3.13,74
412,청국장찌개_간편조리세트_우삼겹 청국장찌개,801.0,3.32,5.58,4.88,80
413,청국장찌개_두부_채소,100.0,2.94,6.32,4.63,79
414,추어탕,1000.0,2.68,2.27,1.32,32
415,해물탕_간편조리세트_바다를 품은 해물탕,1216.0,2.02,4.11,0.96,33
416,해물탕,600.0,2.77,6.63,0.78,45
417,해신탕,100.0,2.03,7.93,1.88,57
418,호박찌개,300.0,4.07,1.87,0.87,32
419,훠궈_소고기,100.0,6.83,4.81,5.11,93
420,갈비찜_고춧가루,300.0,7.9,20.43,6.57,172
421,갈비찜_소고기,250.0,5.26,19.94,10.78,198
422,김치찜_간편조리세트_돼지고기 김치찜,700.0,5.75,10.14,3.67,97
423,김치찜_간편조리세트_돼지고기 묵은지찜,670.0,2.99,4.9,2.26,52
424,깻잎찜,100.0,13.6,3.96,4.6,112
425,꼬막무침,100.0,7.69,8.34,4.72,107
426,꼬막찜_참꼬막,80.0,5.74,15.59,3.13,113
427,달걀찜_달걀만,100.0,1.03,9.01,7.5,108
428,달걀찜_채소,100.0,4.46,4.76,5.77,89
429,들깻잎장아찌,100.0,26.0,4.03,0.42,124
430,불고기전골_간편조리세트_서울식 소불고기전골,803.0,10.38,5.96,4.34,104
431,불고기전골_간편조리세트_서울식 육수불고기,997.0,12.54,6.73,2.06,96
432,불고기전골_간편조리세트_서울식불고기전골,1517.0,4.91,3.74,0.7,41
434,불낙전골_간편조리세트_이게불낙이야,1114.0,5.32,6.6,1.75,63
435,샤브샤브_간편조리세트_소고기 샤브샤브,1686.0,2.99,2.71,1.26,34
436,샤브샤브_간편조리세트_소고기스키야키,1024.0,8.65,6.23,1.78,76
437,샤브샤브_간편조리세트_일호식 스키야키,1234.0,3.64,3.36,2.6,51
438,샤브샤브_소고기,600.0,2.45,4.85,1.63,44
439,소고기전골_간편조리세트_어복쟁반,1613.0,1.41,3.39,1.96,37
440,소고기전골_간편조리세트_파빌리온 얼큰 소고기 전골,1228.0,2.69,4.4,4.94,73
441,소고기전골_간편조리세트_평양식 어복쟁반,1840.0,5.35,7.02,2.94,76
442,순두부찌개_간편조리세트_강릉식 짬뽕 순두부,912.0,2.78,3.78,1.74,42
443,순두부찌개_간편조리세트_우삼겹 순두부찌개,1598.0,2.44,3.54,2.09,43
445,순두부찌개_간편조리세트_짬뽕순두부찌개,1359.0,3.2,3.82,2.52,51
446,순두부찌개_간편조리세트_해물짬뽕순두부,2058.0,3.53,3.31,2.81,53
447,매운탕_광어,600.0,1.52,9.74,2.77,70
448,매운탕_대구,600.0,2.81,9.56,1.2,60
449,매운탕_메기,600.0,8.1,4.77,1.7,67
450,매운탕_서더리,100.0,0.63,4.02,1.27,30
451,매운탕_아귀,100.0,2.32,6.85,0.71,43
452,매운탕_우럭,600.0,1.87,8.69,2.84,68
453,매운탕_조기,600.0,2.88,5.85,3.23,64
454,매운탕_짱뚱어,600.0,2.77,1.92,1.42,31
455,밀푀유나베_간편조리세트_매콤 밀푀유나베,1269.0,2.52,4.13,3.11,55
456,밀푀유나베_간편조리세트_밀푀유나베,1657.0,1.8,3.45,1.64,36
459,버섯전골_간편조리세트_남도식 들깨 버섯전골,968.0,4.54,2.14,1.5,40
460,버섯찌개,400.0,3.85,3.68,1.3,42
461,부대찌개_간편조리세트_오뎅식당 부대찌개,1173.0,6.77,6.27,10.31,145
462,부대찌개_간편조리세트_의정부식부대찌개,1276.0,10.7,3.36,5.55,106
463,부대찌개_간편조리세트_햄듬뿍부대찌개,897.0,8.62,4.87,4.46,94
464,부대찌개,600.0,6.62,3.07,3.1,67
465,김치찌개,400.0,2.98,3.77,3.75,61
466,김치찌개_김치만,100.0,2.95,1.55,3.09,46
467,김치찌개_햄,300.0,4.23,3.7,3.47,63
468,꽁치찌개,300.0,4.07,8.0,7.77,118
469,꽃게탕_간편조리세트_3마리꽃게탕,1226.0,2.47,2.58,0.62,26
470,나베_간편조리세트_통등심가스나베,1166.0,15.71,5.41,9.52,170
471,낙지전골_간편조리세트_낙곱새,923.0,12.88,5.47,1.64,88
472,돼지고기찌개_간편조리세트_돼지고기 짜글이,702.0,6.04,10.46,4.64,108
473,돼지고기찌개_간편조리세트_돼지고기고추장찌개,553.0,5.28,4.32,1.13,49
474,된장찌개_간편조리세트_고깃집 된장찌개,695.0,5.44,7.71,6.33,110
475,된장찌개_간편조리세트_구수한 버섯된장찌개,465.0,3.88,1.79,0.4,26
476,된장찌개_우렁_강된장,100.0,16.09,7.28,4.74,136
477,두부전골,500.0,3.42,5.12,3.22,63
478,두부찌개_새우젓,300.0,2.4,5.4,2.7,55
479,마라탕_간편조리세트_마라탕,873.0,5.72,4.64,5.15,88
480,마라탕,100.0,5.1,3.91,3.27,66
481,만두전골_간편조리세트_얼큰왕만두전골,1771.0,11.35,2.67,2.07,75
482,만두전골,100.0,5.55,3.61,2.23,57
483,어탕,150.0,1.21,8.47,2.06,57
484,연포탕,1000.0,2.02,9.49,0.9,54
485,오이냉국,100.0,3.92,0.5,0.09,19
486,올갱이국,600.0,2.17,2.28,0.7,24
487,전복탕,600.0,2.63,4.47,0.5,33
488,조개국_바지락,550.0,1.84,4.0,0.56,29
489,지리탕_대구,600.0,1.65,6.93,1.03,44
490,지리탕_복,600.0,1.72,6.95,0.45,39
491,초당순두부,900.0,1.76,5.46,3.24,58
492,해장국_뼈다귀,1000.0,2.34,7.46,3.57,71
493,해장국_선지,1000.0,1.67,4.93,0.54,31
494,해장국_우거지,600.0,2.25,1.98,0.98,26
495,홍합탕_홍합만,100.0,2.28,3.68,0.57,29
496,황태해장국,600.0,0.95,4.08,1.13,30
498,고등어찌개,600.0,4.27,8.15,5.62,100
499,곱창전골_간편조리세트_대한곱창 곱창전골,1295.0,8.65,5.79,9.11,140
500,곱창전골_간편조리세트_소곱창순대전골,1316.0,8.36,3.95,2.82,75
501,곱창전골_소고기,600.0,4.87,6.93,4.55,88
502,된장국_감자,100.0,6.11,1.63,1.04,40
503,된장국_무,450.0,3.27,1.36,0.53,23
504,된장국_시금치,100.0,1.54,1.69,0.84,21
505,된장국_시래기,450.0,2.44,1.49,0.69,22
506,된장국_우렁,500.0,3.84,4.92,1.54,49
507,매생이국,500.0,2.68,2.0,0.56,24
508,무국_소고기,400.0,1.95,3.55,1.0,31
509,묵말이_도토리묵,1300.0,6.9,0.52,0.65,36
510,미소된장국,150.0,1.87,1.87,1.2,25
511,미역국_굴,100.0,1.37,1.43,0.64,17
512,미역국_바지락,100.0,0.95,0.89,0.22,9
513,미역국_북어,100.0,1.04,2.46,0.56,19
514,미역국_참치,100.0,0.9,2.62,0.57,19
515,미역국_홍합,650.0,1.78,3.03,0.72,26
516,새우탕_간편조리세트_전복민물새우탕,1589.0,10.07,2.85,0.45,56
517,소탕,150.0,1.27,5.1,3.57,58
518,순대국,800.0,2.16,5.44,4.13,68
519,아구탕,600.0,2.13,6.3,0.82,41
520,어묵국(어묵탕)_간편조리세트_프리미엄 이자카야어묵탕,1383.0,11.01,3.48,1.26,69
521,쌀죽(흰죽)_삼광,100.0,11.51,0.89,0.1,53
522,쌀죽(흰죽)_새일미,100.0,11.72,1.09,0.17,55
523,쌀죽(흰죽)_신동진,100.0,11.42,0.96,0.15,53
524,쌀죽(흰죽)_오대,100.0,11.16,1.02,0.18,52
525,쌀죽(흰죽)_칠분도미,100.0,15.6,1.1,0.2,68
526,어죽,800.0,12.6,2.55,0.94,69
527,율무죽,100.0,13.75,3.26,0.98,77
528,잣죽,700.0,22.18,2.74,2.8,125
